doi,title,known_to_be_open,open_access_status
10.1007/s00417-012-2076-7,Frequency-doubling technology and retinal measurements with spectral-domain optical coherence tomography in preperimetric glaucoma,FALSE,NA
10.1371/journal.pone.0078737,Biological Diversity in the Patent System,TRUE,Open Access at publisher
10.1038/504202a,Radioisotopes: The medical testing crisis,TRUE,Open Access at publisher
10.1016/j.rser.2013.08.013,"Life cycle assessment (LCA) of electricity generation technologies: Overview, comparability and limitations",TRUE,Open Access at repository
10.1016/j.marenvres.2013.09.012,Environmental impacts of produced water and drilling waste discharges from the Norwegian offshore petroleum industry,TRUE,Open Access at publisher
10.1136/amiajnl-2013-001923,Leveraging electronic healthcare record standards and semantic web technologies for the identification of patient cohorts,TRUE,Open Access at publisher
10.1016/j.jclepro.2012.03.009,Opportunities for supplier-led systemic innovation in highly energy-efficient housing,FALSE,NA
10.1016/j.enpol.2013.05.111,Power infrastructure quality and manufacturing productivity in Africa: A firm level analysis,FALSE,NA
10.1177/1084822313480365,Toward Increased Patient Safety? Electronic Communication of Medication Information Between Nurses in Home Health Care and General Practitioners,TRUE,Open Access at repository
10.1111/1468-0327.12018,"Fragmentation, incomes and jobs: an analysis of European competitiveness",TRUE,Open Access at repository
10.1016/j.techfore.2013.04.018,The relationship between research funding and academic consulting: An empirical investigation in the Spanish context,TRUE,Open Access at repository
10.1021/es401932b,Size-dependent effects of micro polystyrene particles in the marine copepod Tigriopus japonicus.,FALSE,NA
10.1007/s12571-013-0290-8,"Gender, nutrition- and climate-smart food production: Opportunities and trade-offs",TRUE,Open Access at publisher
10.1007/s11095-012-0958-3,Effects of Particle Size and Surface Modification on Cellular Uptake and Biodistribution of Polymeric Nanoparticles for Drug Delivery,FALSE,NA
10.1016/j.jom.2013.04.002,The impact of contextual factors on the efficacy of ISO 9000 adoption,TRUE,Open Access at repository
10.1038/495426a,Open access: The true cost of science publishing,TRUE,Open Access at publisher
10.1007/s10734-012-9549-9,Faculty consulting in natural sciences and engineering: between formal and informal knowledge transfer,FALSE,NA
10.1021/ef301761m,Co-Gasification of Wood and Lignite in a Dual Fluidized Bed Gasifier,FALSE,NA
10.1016/j.apenergy.2012.06.032,Water modeling in an energy optimization framework – The water-scarce middle east context,FALSE,NA
10.1109/tlt.2012.15,The Collaborative Lecture Annotation System (Clas): A New Tool for Distributed Learning,TRUE,Open Access at publisher
10.1155/2013/963525,"Waterlogging Tolerance of Crops: Breeding, Mechanism of Tolerance, Molecular Approaches, and Future Prospects",TRUE,Open Access at publisher
10.4103/0019-5545.105512,"A study on professional stress, depression and alcohol use among Indian IT professionals",TRUE,Open Access at repository
10.1007/s12544-013-0107-z,Bus accident severity and passenger injury: evidence from Denmark,TRUE,Open Access at publisher
10.1038/nature12859,Ecosystem-based coastal defence in the face of global change,FALSE,NA
10.1128/aem.01583-13,Microbial Contents of Vacuum Cleaner Bag Dust and Emitted Bioaerosols and Their Implications for Human Exposure Indoors,TRUE,Open Access at publisher
10.1016/j.jclepro.2013.06.020,Silvopastoral systems with traditional management in southeastern Mexico: a prototype of livestock agroforestry for cleaner production,FALSE,NA
10.1017/thg.2013.61,Relationship of Mode of Conception and Sex Concordance With Mortality/Morbidity in Preterm Twins,TRUE,Open Access at publisher
10.1088/1748-9326/8/3/034038,"REDD+ readiness: early insights on monitoring, reporting and verification systems of project developers",TRUE,Open Access at publisher
10.1111/1574-6976.12028,"The rhizosphere microbiome: significance of plant beneficial, plant pathogenic, and human pathogenic microorganisms",TRUE,Open Access at publisher
10.1016/s1701-2163(15)30865-3,"Intrauterine Growth Restriction: Screening, Diagnosis, and Management",FALSE,NA
10.1080/19440049.2013.795293,Review of the regulation and safety assessment of food substances in various countries and jurisdictions,TRUE,Open Access at publisher
10.1016/j.annepidem.2013.05.007,Promoting innovation and creativity in epidemiology for the 21st century,FALSE,NA
10.1016/s0140-6736(13)60593-0,"Quality of care, risk management, and technology in obstetrics to reduce hospital-based maternal mortality in Senegal and Mali (QUARITE): a cluster-randomised trial",FALSE,NA
10.17730/humo.72.2.e1x3101741127x35,The Importance of Local Traditional Institutions in the Management of Natural Resources in the Highlands of East Africa,FALSE,NA
10.1016/j.fuproc.2013.01.014,Gasification of lignite in a dual fluidized bed gasifier — Influence of bed material particle size and the amount of steam,FALSE,NA
10.1016/j.jclepro.2012.07.041,"Social learning in regional innovation networks: trust, commitment and reframing as emergent properties of interaction",FALSE,NA
10.1093/icc/dts027,"Where there is a will, there is a way? Assessing the impact of obstacles to innovation",FALSE,NA
10.1016/j.mayocp.2013.03.002,Promoting Health and Wellness in the Workplace: A Unique Opportunity to Establish Primary and Extended Secondary Cardiovascular Risk Reduction Programs,FALSE,NA
10.1016/j.still.2012.11.002,"Soil erosion, soil fertility and crop yield on slow-forming terraces in the highlands of Buberuka, Rwanda",FALSE,NA
10.1038/nbt.2507,Targeted genome engineering in human cells with the Cas9 RNA-guided endonuclease,FALSE,NA
10.1002/cplx.21436,The evolutionary ecology of technological innovations,TRUE,Open Access at repository
10.1016/j.jclinepi.2012.04.012,GRADE guidelines: 10. Considering resource use and rating the quality of economic evidence,FALSE,NA
10.1111/emre.12015,"Small Firms, Big Patents? Estimating Patent Value Using Data on Israeli Start‐ups’ Financing Rounds",TRUE,Open Access at repository
10.1016/j.jbi.2013.06.007,Sharing clinical decisions for multimorbidity case management using social network and open-source tools,TRUE,Open Access at publisher
10.1016/j.respol.2013.06.005,Complex innovation policy systems: Towards an evaluation mix,FALSE,NA
10.1016/j.patrec.2013.01.021,Silhouette-based human action recognition using sequences of key poses,TRUE,Open Access at repository
10.1007/s11116-013-9457-6,Transport effects of e-commerce: what can be learned after years of research?,FALSE,NA
10.3168/jds.2013-6563,Carbon footprint of Canadian dairy products: Calculations and issues,TRUE,Open Access at publisher
10.1586/14737167.2013.815401,Health technology assessment and comparative effectiveness research: a pharmaceutical industry perspective,FALSE,NA
10.1586/14737167.2013.814937,A review of cost–effectiveness evaluations as part of national health technology assessments of biologic DMARDs in the treatment of rheumatoid arthritis,FALSE,NA
10.1093/humrep/det109,ESHRE Task Force on ethics and Law 20: sex selection for non-medical reasons,TRUE,Open Access at publisher
10.1016/j.agsy.2013.03.003,Unravelling the role of innovation platforms in supporting co-evolution of innovation: Contributions and tensions in a smallholder dairy development programme,FALSE,NA
10.1080/17457300.2012.696663,Road safety impacts of the motorcycle in Brazil,FALSE,NA
10.1021/es303012r,Comparing embodied greenhouse gas emissions of modern computing and electronics products.,TRUE,Open Access at publisher
10.1007/s40273-013-0038-5,Optimal Global Value of Information Trials: Better Aligning Manufacturer and Decision Maker Interests and Enabling Feasible Risk Sharing,FALSE,NA
10.1016/j.jhin.2013.02.004,Improved hand hygiene technique and compliance in healthcare workers using gaming technology,FALSE,NA
10.1007/s12263-012-0316-4,The application of GMOs in agriculture and in food production for a better nutrition: two different scientific points of view,TRUE,Open Access at publisher
10.1017/s0266462313000111,HOME TELEMONITORING FOR CHRONIC DISEASE MANAGEMENT: AN ECONOMIC ASSESSMENT,FALSE,NA
10.1586/erv.13.21,Vero cell culture-derived pandemic influenza vaccines: preclinical and clinical development,FALSE,NA
10.1016/j.agsy.2012.09.006,The distribution of roles and functions for upscaling and outscaling innovations in agricultural innovation systems,FALSE,NA
10.1016/j.vaccine.2012.10.111,Global production capacity of seasonal influenza vaccine in 2011,TRUE,Open Access at publisher
10.1097/coh.0b013e32835b6e5a,The role of intellectual property rights in treatment access: challenges and solutions,FALSE,NA
10.1016/j.envsoft.2013.08.003,Modelling land-use effects of future urbanization using cellular automata: An Eastern Danish case,FALSE,NA
10.1016/j.apenergy.2013.04.008,Life cycle primary energy use and carbon footprint of wood-frame conventional and passive houses with biomass-based energy supply,FALSE,NA
10.1108/aa-06-2013-055,3D printing: the dawn of a new era in manufacturing?,FALSE,NA
10.1128/mbio.00650-13,"Engineering a Replication-Competent, Propagation-Defective Middle East Respiratory Syndrome Coronavirus as a Vaccine Candidate",TRUE,Open Access at publisher
10.1088/1748-9326/8/3/035052,Global versus local environmental impacts of grazing and confined beef production systems,TRUE,Open Access at publisher
10.1080/13549839.2012.748732,Legitimacy for climate policies: politics and participation in the Green City of Freiburg,FALSE,NA
10.1007/s12053-012-9184-4,"Efficient technologies or user behaviour, which is the more important when reducing households’ energy consumption?",FALSE,NA
10.1177/1741134313515667,Usage of generics in Ireland: Recent trends and policy developments,FALSE,NA
10.1109/jbhi.2012.2234129,A Survey on Ambient-Assisted Living Tools for Older Adults,FALSE,NA
10.1016/j.respol.2013.01.005,Is the commercialization of European academic R&D weak?—A critical assessment of a dominant belief and associated policy responses,FALSE,NA
10.1080/13504851.2012.724158,"The relationship between international innovation collaboration, intramural R&D and SMEs’ innovation performance: a quantile regression approach",FALSE,NA
10.1093/scipol/scs080,Measuring the integration and coordination dynamics of the European Research Area,FALSE,NA
10.1007/s40273-013-0039-4,Temporary Authorization for Use: Does the French Patient Access Programme for Unlicensed Medicines Impact Market Access After Formal Licensing?,FALSE,NA
10.1016/j.respol.2012.11.002,The worldwide count of priority patents: A new indicator of inventive activity,TRUE,Open Access at repository
10.4161/bioe.22461,Bioengineered protein phosphatase 2A: update on need.,TRUE,Open Access at publisher
10.4067/s0718-27242013000100001,Is Business Creation the Mean or the End of Entrepreneurship Education?: A Multiple Case Study Exploring Teaching Goals in Entrepreneurship Education,TRUE,Open Access at publisher
10.1002/asi.22754,Quantifying the benefits of international scientific collaboration,FALSE,NA
10.1155/2013/684982,A Health Technology Assessment of Transient Elastography in Adult Liver Disease,TRUE,Open Access at publisher
10.4103/0975-7406.113306,Implant surgical guides: From the past to the present,TRUE,Open Access at publisher
10.5751/es-05072-180327,A Theory of Transformative Agency in Linked Social-Ecological Systems,TRUE,Open Access at publisher
10.1007/s10995-012-1207-4,Bridging Between Professionals in Perinatal Care: Towards Shared Care in The Netherlands,TRUE,Open Access at repository
10.3109/10408444.2013.842955,The use of whole food animal studies in the safety assessment of genetically modified crops: Limitations and recommendations,TRUE,Open Access at publisher
10.1002/wene.60,Bioenergy options for New Zealand: key findings from five studies,FALSE,NA
10.1007/s11187-012-9453-9,Open innovation practices in SMEs and large enterprises,FALSE,NA
10.1002/jid.1820,POVERTY REDUCTION THROUGH PROMOTING ALTERNATIVE LIVELIHOODS: IMPLICATIONS FOR MARGINAL DRYLANDS,FALSE,NA
10.1016/j.techfore.2013.03.002,The choice of innovation policy instruments,FALSE,NA
10.1016/j.jclepro.2013.02.028,The potential for improvements in energy efficiency and CO2 emissions in the EU27 iron and steel industry under different payback periods,FALSE,NA
10.1016/j.jclepro.2013.04.024,The effect of an environmental claim on consumers' perceptions about luxury and utilitarian products,FALSE,NA
10.1016/j.aquaculture.2013.02.015,Future challenges for the maturing Norwegian salmon aquaculture industry: An analysis of total factor productivity change from 1996 to 2008,FALSE,NA
10.1016/j.respol.2013.02.008,The market failure and the systemic failure rationales in technological innovation systems,FALSE,NA
10.1016/j.nbt.2013.02.004,Comparative regulatory approaches for groups of new plant breeding techniques,FALSE,NA
10.1016/j.ijsbe.2013.10.001,Researching social acceptability of renewable energy technologies in Finland,TRUE,Open Access at publisher
10.1016/j.nbt.2012.12.001,Assessment of GE food safety using ‘-omics’ techniques and long-term animal feeding studies,FALSE,NA
10.1111/pbi.12055,Intragenesis and cisgenesis as alternatives to transgenic crop development,FALSE,NA
10.3390/ijms140714136,Modulation of Phytoalexin Biosynthesis in Engineered Plants for Disease Resistance,TRUE,Open Access at publisher
10.1093/intqhc/mzt002,Continuous innovation: developing and using a clinical database with new technology for patient-centred care—the case of the Swedish quality register for arthritis,TRUE,Open Access at publisher
10.1016/j.worlddev.2012.09.002,Rural Electrification and Employment in Poor Countries: Evidence from Nicaragua,FALSE,NA
10.1016/j.enpol.2012.10.048,Inducing low-carbon investment in the electric power industry through a price floor for emissions trading,TRUE,Open Access at repository
10.1016/j.ejor.2012.08.015,A review of dynamic vehicle routing problems,TRUE,Open Access at repository
10.1111/pbi.12025,Fortifying plants with the essential amino acids lysine and methionine to improve nutritional quality,TRUE,Open Access at publisher
10.1186/1748-5908-8-6,Developing and evaluating communication strategies to support informed decisions and practice based on evidence (DECIDE): protocol and preliminary results,TRUE,Open Access at publisher
10.1016/j.cej.2013.08.004,Assessment of technological solutions for improving chemical looping combustion of solid fuels with CO2 capture,FALSE,NA
10.1016/j.ijindorg.2013.07.010,Competition and investment — A unified approach,TRUE,Open Access at repository
10.1016/j.jfoodeng.2013.04.009,Diagnostic model for assessing traceability system performance in fish processing plants,FALSE,NA
10.1007/s10824-012-9184-4,“Selling less of more?” The impact of digitization on record companies,FALSE,NA
10.1016/j.aap.2013.04.010,Driving avoidance by older adults: Is it always self-regulation?,FALSE,NA
10.1007/s00382-012-1523-9,Potential impacts of afforestation on climate change and extreme events in Nigeria,FALSE,NA
10.1093/oep/gpt012,The importance (or not) of patents to UK firms,TRUE,Open Access at repository
10.1136/jech-2012-201933,"The tobacco ban in Spain: how it happened, a vision from inside the government",FALSE,NA
10.1016/j.rbmo.2013.03.006,The ethics of creating children with three genetic parents,FALSE,NA
10.1080/15715124.2013.815191,The status of the Danube River sediment regime and morphology as a basis for future basin management,FALSE,NA
10.1016/j.respol.2012.11.004,Why are women underrepresented amongst patentees?,FALSE,NA
10.1377/hlthaff.2012.1252,Health Care Cost Containment Strategies Used In Four Other High-Income Countries Hold Lessons For The United States,TRUE,Open Access at publisher
10.1016/j.copbio.2012.09.012,Food commodities from microalgae,FALSE,NA
10.1098/rsta.2011.0567,Policy for material efficiency—sustainable taxation as a departure from the throwaway society,TRUE,Open Access at publisher
10.1016/j.apenergy.2012.01.048,Geothermal heat pump systems: Status review and comparison with other heating options,FALSE,NA
10.1016/j.landurbplan.2012.10.011,Understanding ecosystem services trade-offs with interactive procedural modeling for sustainable urban planning,FALSE,NA
10.1186/1479-5876-11-1,Advanced health biotechnologies in Thailand: redefining policy directions,TRUE,Open Access at publisher
10.1155/2013/632540,Towards Health in All Policies for Childhood Obesity Prevention,TRUE,Open Access at publisher
10.4103/1357-6283.112798,Factors promoting sustainability of education innovations: A comparison of faculty perceptions and existing frameworks,FALSE,NA
10.1016/j.strueco.2013.06.008,Public sector innovation—From theory to measurement,FALSE,NA
10.1080/14733285.2013.812309,Spatial extensions of childhood: from toy worlds to online communities,FALSE,NA
10.1016/j.ijmedinf.2011.03.002,Older adults: Are they ready to adopt health-related ICT?,FALSE,NA
10.1111/sjpe.12015,Why Has the Fraction of Nonstandard Workers Increased? A Case Study of Japan,FALSE,NA
10.1016/j.jclepro.2012.05.021,Enhanced Landfill Mining in view of multiple resource recovery: a critical review,FALSE,NA
10.1080/09638199.2011.605461,Regional integration and technology diffusion: The case of Uruguay,TRUE,Open Access at repository
10.1016/j.eja.2013.02.002,Controlled traffic farming: A review of the environmental impacts,FALSE,NA
10.1080/19761597.2013.815482,Scientific and technological knowledge flow and technological innovation: quantitative approach using patent citation,FALSE,NA
10.1016/j.healthpol.2013.03.005,Exploring the role of ICT in the provision of integrated care—Evidence from eight countries,FALSE,NA
10.7166/24-1-500,An integrated approach for developing a technology strategy framework for small- to medium-sized furniture manufacturers to improve competitiveness,TRUE,Open Access at publisher
10.1111/1746-692x.12022,Information and Communication Technology as a Driver for Change in Agri‐food Chains,FALSE,NA
10.1177/0002764212466245,Social Margins and Precarious Work In Vietnam,TRUE,Open Access at repository
10.1111/irel.12018,Manufacturing Plants' Use of Temporary Workers: An Analysis Using Census Microdata,FALSE,NA
10.1080/2150704x.2012.723833,"Using multi-temporal remote-sensing data to estimate 2011 flood area and volume over Chao Phraya River basin, Thailand",FALSE,NA
10.1016/j.jinteco.2012.08.008,"Exporting and firm performance: Market entry, investment and expansion",FALSE,NA
10.1111/risa.12034,"When Precaution Creates Misunderstandings: The Unintended Effects of Precautionary Information on Perceived Risks, the EMF Case",FALSE,NA
10.1016/j.pecs.2012.09.004,Underground coal gasification: From fundamentals to applications,FALSE,NA
10.1111/j.1945-1474.2011.00164.x,Large‐Scale Improvement Initiatives in Healthcare: A Scan of the Literature,FALSE,NA
10.1016/j.techsoc.2013.03.003,How disruptive is frugal?,FALSE,NA
10.1002/ldr.1090,A CASE ASSESSMENT OF THE MECHANISMS INVOLVED IN HUMAN‐INDUCED LAND DEGRADATION IN NORTHEASTERN KUWAIT,FALSE,NA
10.1080/1369118x.2012.735252,NEGOTIABILITY OF TECHNOLOGY AND ITS LIMITATIONS,FALSE,NA
10.1016/j.apenergy.2013.05.035,Heat recovery with heat pumps in non-energy intensive industry: A detailed bottom-up model analysis in the French food & drink industry,FALSE,NA
10.1109/tpwrs.2013.2249540,An Enhanced Screening Curves Method for Considering Thermal Cycling Operation Costs in Generation Expansion Planning,FALSE,NA
10.4187/respcare.02260,Are Oxygen-Conserving Devices Effective for Correcting Exercise Hypoxemia?,TRUE,Open Access at publisher
10.1093/scipol/sct007,Democratising research evaluation: Achieving greater public engagement with bibliometrics-informed peer review,FALSE,NA
10.1017/s0266462313000494,HEALTH TECHNOLOGY REASSESSMENT: THE ART OF THE POSSIBLE,TRUE,Open Access at publisher
10.1016/j.renene.2013.02.013,‘State-of-the-art’ of building integrated photovoltaic products,TRUE,Open Access at repository
10.1093/gji/ggt164,A stochastic model for induced seismicity based on non-linear pressure diffusion and irreversible permeability enhancement,TRUE,Open Access at publisher
10.1016/j.enpol.2013.03.057,Exploring the limits for CO2 emission abatement in the EU power and industry sectors—Awaiting a breakthrough,FALSE,NA
10.1586/14737167.2013.814962,Harmonization of reimbursement and regulatory approval processes: a systematic review of international experiences,FALSE,NA
10.1073/pnas.1310675110,Generation of functionally competent and durable engineered blood vessels from human induced pluripotent stem cells,TRUE,Open Access at publisher
10.1038/nature12047,Globally networked risks and how to respond,FALSE,NA
10.1016/j.ijproman.2012.07.005,Exploration and exploitation in project-based organizations: Development and diffusion of knowledge at different organizational levels in construction companies,FALSE,NA
10.1177/0969776412439200,Can small regions construct regional advantages? The case of four Norwegian regions,FALSE,NA
10.1177/0969776411428651,Emerging regional innovation strategies in Central Europe: institutions and regional leadership in generating strategic outcomes,FALSE,NA
10.1177/0972820112471258,"Organizational Transformation Challenges at the State Bank of Pakistan (A), (B), (C)",FALSE,NA
10.1111/ejed.12019,Open Educational Resources and the Transformation of Education,TRUE,Open Access at repository
10.1111/ejed.12017,OECD Work on Technology and Education: innovative learning environments as an integrating framework,FALSE,NA
10.1016/j.enbuild.2012.11.025,Application of continuous surface temperature monitoring technique for investigation of nocturnal sensible heat release characteristics by building fabrics in Hong Kong,FALSE,NA
10.1016/j.fertnstert.2012.12.001,Congenital anomalies after assisted reproductive technology,FALSE,NA
10.1016/j.biombioe.2013.10.002,Influence of dryer type on the performance of a biomass gasification combined cycle co-located with an integrated pulp and paper mill,FALSE,NA
10.1109/tpwrs.2013.2251373,Tight and Compact MILP Formulation for the Thermal Unit Commitment Problem,FALSE,NA
10.1377/hlthaff.2013.0052,Substantial Health And Economic Returns From Delayed Aging May Warrant A New Focus For Medical Research,TRUE,Open Access at publisher
10.5957/josr.57.3.120037,An Experimental Validation of an Evacuation Model using Data Sets Generated from Two Large Passenger Ships,FALSE,NA
10.1007/s40258-013-0029-x,New Anti-Rebate Legislation in South Korea,FALSE,NA
10.1007/s00204-013-1078-5,"Recent advances in 2D and 3D in vitro systems using primary hepatocytes, alternative hepatocyte sources and non-parenchymal liver cells and their use in investigating mechanisms of hepatotoxicity, cell signaling and ADME",TRUE,Open Access at publisher
10.1111/tmi.12126,"The effects, safety and acceptability of compact, pre‐filled, autodisable injection devices when delivered by lay health workers",TRUE,Open Access at publisher
10.1016/j.trc.2012.10.008,Assessing the safety of routes in a regional network,FALSE,NA
10.3109/17483107.2012.735745,Evaluating use and outcomes of mobility technology: A multiple stakeholder analysis,FALSE,NA
10.3109/17483107.2012.699993,“Do I need it? Do I really need it?” Elderly peoples experiences of unmet assistive technology device needs,FALSE,NA
10.1016/j.apenergy.2013.01.025,Economic appraisal of shale gas plays in Continental Europe,FALSE,NA
10.1016/j.ijmedinf.2012.11.002,Lessons learned implementing a regional health information exchange in Geneva as a pilot for the Swiss national eHealth strategy,FALSE,NA
10.1038/nature12051,High-level semi-synthetic production of the potent antimalarial artemisinin,TRUE,Open Access at publisher
10.1016/j.trc.2012.12.009,Videoconferencing and business air travel: Do new technologies produce new interaction patterns?,FALSE,NA
10.1016/j.ecoleng.2012.12.105,Biodiversity assessment following a naturality gradient of riverbank protection structures in French prealps rivers,FALSE,NA
10.1016/j.talanta.2012.10.086,Optimization of a GC/MS procedure that uses parallel factor analysis for the determination of bisphenols and their diglycidyl ethers after migration from polycarbonate tableware,FALSE,NA
10.1016/j.tws.2012.10.006,Generalized multistage mechanical model for nonlinear metallic materials,FALSE,NA
10.1093/reep/res016,The Porter Hypothesis at 20: Can Environmental Regulation Enhance Innovation and Competitiveness?,TRUE,Open Access at repository
10.1016/j.scitotenv.2012.10.101,The influence of vegetation on the horizontal and vertical distribution of pollutants in a street canyon,FALSE,NA
10.1016/j.desal.2012.10.015,Technical review and evaluation of the economics of water desalination: Current and future challenges for better water supply sustainability,TRUE,Open Access at repository
10.3233/jcs-130472,Provably repairing the ISO/IEC 9798 standard for entity authentication1,TRUE,Open Access at repository
10.1016/j.enpol.2013.09.013,Innovation policy for directing technical change in the power sector,FALSE,NA
10.1016/j.solmat.2013.08.037,Energy payback time and carbon footprint of commercial photovoltaic systems,FALSE,NA
10.1186/1471-2458-13-91,Harnessing the power of the grassroots to conduct public health research in sub-Saharan Africa: a case study from western Kenya in the adaptation of community-based participatory research (CBPR) approaches,TRUE,Open Access at publisher
10.1111/irv.12180,Influenza vaccines: an Asia–Pacific perspective,TRUE,Open Access at publisher
10.1108/jedt-01-2011-0001,Lean Six Sigma in SMEs: an exploration through literature review,FALSE,NA
10.1111/irv.12081,"Improving influenza vaccine virus selection: report of a WHO informal consultation held at WHO headquarters, Geneva, Switzerland, 14–16 June 2010",TRUE,Open Access at publisher
10.1126/science.1237227,Current Challenges and Trends in the Discovery of Agrochemicals,FALSE,NA
10.1016/j.foreco.2012.09.002,Established and new technologies reduce increasing pest and pathogen threats to Eucalypt plantations,FALSE,NA
10.1016/j.ijggc.2013.01.048,Chemical-looping combustion of solid fuels – Design and operation of a 100kW unit with bituminous coal,FALSE,NA
10.1016/j.tifs.2013.03.008,Meat fermentation at the crossroads of innovation and tradition: A historical outlook,FALSE,NA
10.1016/j.intman.2013.03.004,Decoupling management and technological innovations: Resolving the individualism–collectivism controversy,FALSE,NA
10.1007/s00122-013-2062-4,Identification of quantitative trait loci for resistance to Verticillium wilt and yield parameters in hop (Humulus lupulus L.),FALSE,NA
10.1016/j.ijproman.2012.09.001,To bridge or to bond? Diverse social connections in an IS project team,FALSE,NA
10.1016/j.jclepro.2012.05.013,System innovation for sustainability: a systemic double-flow scenario method for companies,FALSE,NA
10.1016/j.rser.2012.12.026,An overview of Australia's hydropower energy: Status and future prospects,FALSE,NA
10.1136/annrheumdis-2012-202715,The role of biosimilars in the treatment of rheumatic diseases,TRUE,Open Access at publisher
10.1016/j.vaccine.2012.12.046,Method for the simultaneous assay of the different poliovirus types using surface plasmon resonance technology,FALSE,NA
10.3390/ijms14011232,From Protein Engineering to Immobilization: Promising Strategies for the Upgrade of Industrial Enzymes,TRUE,Open Access at publisher
10.1016/j.healthpol.2012.09.011,Reforming reimbursement of public hospitals in Greece during the economic crisis: Implementation of a DRG system,FALSE,NA
10.1128/jvi.01874-13,A Mouse Monoclonal Antibody against Dengue Virus Type 1 Mochizuki Strain Targeting Envelope Protein Domain II and Displaying Strongly Neutralizing but Not Enhancing Activity,TRUE,Open Access at publisher
10.3109/17435390.2012.739664,"Nanoscale reference materials for environmental, health and safety measurements: needs, gaps and opportunities",FALSE,NA
10.1016/j.ijfoodmicro.2013.06.005,Ultraviolet light and Ultrasound as non-thermal treatments for the inactivation of microorganisms in fresh ready-to-eat foods,FALSE,NA
10.1021/es401820p,Addressing biogenic greenhouse gas emissions from hydropower in LCA.,FALSE,NA
10.1016/j.marpolbul.2013.05.042,Genomics in marine monitoring: New opportunities for assessing marine health status,TRUE,Open Access at publisher
10.1111/pbi.12100,Genetically engineered trees for plantation forests: key considerations for environmental risk assessment,TRUE,Open Access at publisher
10.1016/j.techfore.2012.11.009,Non-technological innovations for sustainable transport,FALSE,NA
10.1038/nature12271,Vascularized and functional human liver from an iPSC-derived organ bud transplant,FALSE,NA
10.1016/j.tplants.2013.03.004,Paradoxical EU agricultural policies on genetically engineered crops,FALSE,NA
10.1016/j.foodchem.2012.11.074,Validation of methods for the detection and quantification of engineered nanoparticles in food,TRUE,Open Access at repository
10.1038/nature11909,Using membrane transporters to improve crops for sustainable food production,TRUE,Open Access at repository
10.1109/tse.2012.55,The Role of the Tester's Knowledge in Exploratory Software Testing,FALSE,NA
10.1007/s00168-012-0509-1,"From innovation to commercialization through networks and agglomerations: analysis of sources of innovation, innovation capabilities and performance of Dutch SMEs",TRUE,Open Access at publisher
10.1111/1468-5973.12008,Fractal Crises – A New Path for Crisis Theory and Management,FALSE,NA
10.1016/j.triboint.2012.01.013,On the identification of wear modes and transitions using airborne wear particles,FALSE,NA
10.1016/s0140-6736(12)62128-x,Promotion of access to essential medicines for non-communicable diseases: practical implications of the UN political declaration,TRUE,Open Access at repository
10.1007/s10671-012-9128-y,The roles of teacher efficacy in instructional innovation: its predictive relations to constructivist and didactic instruction,FALSE,NA
10.1109/jqe.2012.2237160,Diffraction-Grating-Coupled High Quantum Efficiency InP/InGaAs Quantum Well Infrared Photodetector Focal Plane Array,FALSE,NA
10.1016/j.ijinfomgt.2012.07.008,Organizational climate and its influence on brokers’ knowledge transfer activities: A structural equation modeling,FALSE,NA
