doi,altmetric_id,altmetric_score,type,article_title,journal_title,journal_volume,journal_issue,page_starts,page_ends,publisher,altmetric_journal_id,total_mentions,print_publication_date,first_seen_on_date,last_mentioned_date,first_author,pdf_url,uri,mendeley_url
10.1136/annrheumdis-2012-202745,1395416,49.736,article,EULAR recommendations for the non-pharmacological core management of hip and knee osteoarthritis.,Annals of the Rheumatic Diseases,72,7,1125,1135,BMJ Publishing Group Ltd and European League Against Rheumatism,4f6fa60b3cf058f610006a32,81,2013-04-17T00:00:00+00:00,2013-04-17T19:48:54+00:00,2018-06-03T15:50,Linda Fernandes,http://ard.bmj.com/content/early/2013/04/16/annrheumdis-2012-202745.full.pdf,NA,http://www.mendeley.com/research/eular-recommendations-nonpharmacological-core-management-hip-knee-osteoarthritis-3
10.1038/nrrheum.2013.141,1804046,15.25,article,Platelet-rich plasma for managing pain and inflammation in osteoarthritis.,Nature Reviews Rheumatology,NA,NA,721,,Nature Publishing Group,4f6fa52f3cf058f610004274,20,2013-10-01T00:00:00+00:00,2013-10-04T16:48:37+00:00,2017-11-30T00:00,Isabel Andia,https://www.nature.com/articles/nrrheum.2013.141.pdf,NA,http://www.mendeley.com/research/plateletrich-plasma-managing-pain-inflammation-osteoarthritis
10.1007/s10561-013-9397-6,11959154,4.0,article,Business oriented EU human cell and tissue product legislation will adversely impact Member States’ health care systems,Cell and Tissue Banking,14,4,525,560,Springer,4f6fa6103cf058f610006e10,2,2016-09-12T20:13:00+00:00,2016-09-12T11:27:59+00:00,2017-11-17T11:35,Jean-Paul Pirnay,https://link.springer.com/content/pdf/10.1007%2Fs10561-013-9397-6.pdf,NA,http://www.mendeley.com/research/business-oriented-eu-human-cell-tissue-product-legislation-adversely-impact-member-states-health-car
10.1016/j.rser.2013.02.019,28988065,3.0,article,A review on development of industrial processes and emerging techniques for production of hydrogen from renewable and sustainable sources,Renewable & Sustainable Energy Reviews,NA,NA,NA,NA,NA,4f6fa5133cf058f610003451,1,2013-07-01T00:00:00+00:00,2017-11-16T05:53:04+00:00,2017-11-15T18:20,Rashmi Chaubey,NA,NA,http://www.mendeley.com/research/review-development-industrial-processes-emerging-techniques-production-hydrogen-renewable-sustainabl-7
10.1007/s10384-012-0227-3,28375642,3.0,article,Agreement between frequency-doubling technology perimetry and Heidelberg retinal tomography 3,Japanese Journal of Ophthalmology,NA,NA,NA,NA,Springer Japan,4f6fa4ee3cf058f610002c3e,1,2013-01-11T00:00:00+00:00,2017-11-03T16:59:53+00:00,2017-10-31T15:28,Na Young Lee,https://link.springer.com/content/pdf/10.1007%2Fs10384-012-0227-3.pdf,NA,http://www.mendeley.com/research/agreement-between-frequencydoubling-technology-perimetry-heidelberg-retinal-tomography-3
10.1007/s00417-012-2076-7,907386,3.25,article,Frequency-doubling technology and retinal measurements with spectral-domain optical coherence tomography in preperimetric glaucoma.,Graefe's Archive of Clinical & Experimental Ophthalmology,,,NA,NA,Springer-Verlag,4f6fa4ec3cf058f610002982,2,2012-06-13T00:00:00+00:00,2012-08-22T23:40:06+00:00,2017-10-31T15:28,Hirashima T,https://link.springer.com/content/pdf/10.1007%2Fs00417-012-2076-7.pdf,NA,http://www.mendeley.com/research/frequencydoubling-technology-retinal-measurements-spectraldomain-optical-coherence-tomography-preper
10.1016/j.envpol.2013.06.003,1696683,15.5,article,Environmental concentrations of engineered nanomaterials: Review of modeling and analytical studies,Environmental Pollution,181,NA,287,300,Elsevier Ltd,4f6fa6043cf058f610006534,5,2013-07-18T00:00:00+00:00,2013-08-19T11:42:32+00:00,2017-10-05T13:11,Gottschalk F,NA,http://linkinghub.elsevier.com/retrieve/pii/S0269749113003205,http://www.mendeley.com/research/environmental-concentrations-engineered-nanomaterials-review-modeling-analytical-studies-7
10.1016/j.retrec.2012.06.038,27126905,3.0,article,How much can public private partnership really do for urban transport in developing countries?,Research in Transportation Economics,NA,NA,NA,NA,NA,4f6fa6363cf058f610008749,1,2013-04-01T00:00:00+00:00,2017-10-07T05:56:28+00:00,2017-09-27T22:27,Christopher Willoughby,NA,NA,http://www.mendeley.com/research/much-public-private-partnership-really-urban-transport-developing-countries-10
10.1016/j.resourpol.2013.09.010,30467594,3.0,article,An analysis of factors leading to the establishment of a social licence to operate in the mining industry,Resources Policy,NA,NA,NA,NA,NA,4f6fa59a3cf058f610005129,1,2013-12-01T00:00:00+00:00,2017-12-15T03:31:59+00:00,2017-09-11T21:01,Jason Prno,NA,NA,http://www.mendeley.com/research/analysis-factors-leading-establishment-social-licence-operate-mining-industry
10.1016/j.techfore.2012.08.007,27381195,3.0,article,Adoption of interrelated sustainable agricultural practices in smallholder systems: Evidence from rural Tanzania,Technological Forecasting and Social Change,NA,NA,NA,NA,NA,4f6fa6393cf058f610008af1,1,2013-03-01T00:00:00+00:00,2017-10-13T02:19:47+00:00,2017-09-01T01:00,Menale Kassie,NA,NA,http://www.mendeley.com/research/adoption-interrelated-sustainable-agricultural-practices-smallholder-systems-evidence-rural-tanzania-2
10.1016/j.rser.2013.08.013,2355280,36.95,article,"Life cycle assessment (LCA) of electricity generation technologies: Overview, comparability and limitations. Renew Sustain Energy Rev",Renewable & Sustainable Energy Reviews,28,NA,NA,NA,NA,4f6fa5133cf058f610003451,12,2013-01-01T00:00:00+00:00,2014-05-16T03:20:21+00:00,2018-05-21T16:10,Roberto Turconi,NA,NA,http://www.mendeley.com/research/life-cycle-assessment-lca-electricity-generation-technologies-overview-comparability-limitations-5
10.1021/es401932b,1752540,9.25,article,Size-Dependent Effects of Micro Polystyrene Particles in the Marine Copepod,Environmental Science & Technology,NA,NA,130913104107007,NA,American Chemical Society,4f6fa4eb3cf058f6100027ef,14,2013-09-13T00:00:00+00:00,2013-09-16T13:07:25+00:00,2017-08-01T01:00,Kyun-Woo Lee,NA,NA,http://www.mendeley.com/research/sizedependent-effects-micro-polystyrene-particles-marine-copepod-tigriopus-japonicus
10.1007/s11095-012-0958-3,1176564,3.0,article,Effects of Particle Size and Surface Modification on Cellular Uptake and Biodistribution of Polymeric Nanoparticles for Drug Delivery.,Pharmaceutical Research,NA,NA,NA,NA,Springer US,4f6fa5123cf058f6100032da,1,2013-01-12T00:00:00+00:00,2013-01-15T11:15:39+00:00,2017-08-01T01:00,Sneha A. Kulkarni,https://link.springer.com/content/pdf/10.1007%2Fs11095-012-0958-3.pdf,NA,http://www.mendeley.com/research/effects-particle-size-surface-modification-cellular-uptake-biodistribution-polymeric-nanoparticles-d-3
10.1016/j.enpol.2013.05.111,20768628,3.0,article,Power infrastructure quality and manufacturing productivity in Africa: A firm level analysis,Energy Policy,NA,NA,NA,NA,NA,4f6fa5923cf058f610004f21,1,2013-10-01T00:00:00+00:00,2017-06-02T04:41:47+00:00,2017-06-01T01:00,Busani Moyo,NA,NA,http://www.mendeley.com/research/power-infrastructure-quality-manufacturing-productivity-africa-firm-level-analysis
10.1016/j.apenergy.2012.06.032,21755113,3.0,article,Water modeling in an energy optimization framework – The water-scarce middle east context,Applied Energy,NA,NA,NA,NA,NA,4f6fa4e83cf058f6100022d1,1,2013-01-01T00:00:00+00:00,2017-07-11T12:50:56+00:00,2017-06-01T01:00,Aurelie Dubreuil,NA,NA,http://www.mendeley.com/research/water-modeling-energy-optimization-framework-waterscarce-middle-east-context
10.1016/j.jom.2013.04.002,1482154,4.0,article,The Impact of Contextual Factors on the Efficacy of ISO 9000 Adoption,Journal of Operations Management,NA,NA,NA,NA,Elsevier B.V.,4f6fa5963cf058f610005050,3,2013-04-01T00:00:00+00:00,2013-05-17T00:47:25+00:00,2017-05-04T01:00,Chris K.Y. Lo,NA,NA,http://www.mendeley.com/research/impact-contextual-factors-efficacy-iso-9000-adoption
10.1111/1468-0327.12018,2081543,6.0,article,"Fragmentation, incomes and jobs: an analysis of European competitiveness",Economic Policy,28,76,613,661,Oxford University Press,4f6fa5613cf058f610004959,2,2013-01-01T00:00:00+00:00,2014-01-29T05:58:33+00:00,2017-04-25T14:43,Marcel P. Timmer,http://onlinelibrary.wiley.com/doi/10.1111/1468-0327.12018/pdf,https://academic.oup.com/economicpolicy/article-lookup/doi/10.1111/1468-0327.12018,http://www.mendeley.com/research/fragmentation-incomes-jobs-analysis-european-competitiveness
10.1007/s12571-013-0290-8,1828819,22.618,article,"Gender, nutrition- and climate-smart food production: Opportunities and trade-offs",Food Security,5,5,709,721,Springer Netherlands,4f6fa6183cf058f61000746a,10,2013-08-18T00:00:00+00:00,2013-10-16T03:32:39+00:00,2017-04-01T01:00,Tina DÃ©sirÃ©e Beuchelt,http://link.springer.com/content/pdf/10.1007%2Fs12571-013-0290-8.pdf,http://link.springer.com/10.1007/s12571-013-0290-8,http://www.mendeley.com/research/gender-nutrition-climatesmart-food-production-opportunities-tradeoffs
10.1038/504202a,1972209,151.836,news,Radioisotopes: The medical testing crisis.,Nature,504,7479,202,204,NA,4f6fa50a3cf058f610003160,178,2013-12-12T00:00:00+00:00,2013-12-11T14:24:44+00:00,2017-04-01T01:00,Richard Van Noorden,NA,NA,http://www.mendeley.com/research/radioisotopes-medical-testing-crisis
10.4103/0019-5545.105512,1268452,6.85,article,"A study on professional stress, depression and alcohol use among Indian IT professionals",Indian Journal of Psychiatry,55,1,NA,NA,NA,4f6fa5263cf058f610003d93,5,2013-01-01T00:00:00+00:00,2013-02-27T18:43:08+00:00,2017-04-01T01:00,M. S. Darshan,NA,NA,http://www.mendeley.com/research/study-professional-stress-depression-alcohol-among-indian-it-professionals-5
10.1177/1084822313480365,1302593,16.1,article,Toward Increased Patient Safety? Electronic Communication of Medication Information Between Nurses in Home Health Care and General Practitioners,Home Health Care Management & Practice,25,5,203,211,"SAGE PublicationsSage CA: Los Angeles, CA",4f6fa4ec3cf058f6100029f8,9,2013-01-01T00:00:00+00:00,2013-03-15T03:25:29+00:00,2017-03-30T01:00,Merete Lyngstad,http://hhc.sagepub.com/content/early/2013/03/12/1084822313480365.full.pdf,NA,http://www.mendeley.com/research/toward-increased-patient-safety-electronic-communication-medication-information-between-nurses-home-3
10.1038/495426a,1324851,2094.484,news,Open access: The true cost of science publishing,Nature,495,7442,426,429,NA,4f6fa50a3cf058f610003160,2565,2013-03-28T00:00:00+00:00,2013-03-27T18:29:16+00:00,2018-07-10T16:26,Richard Van Noorden,NA,http://www.nature.com/doifinder/10.1038/495426a,http://www.mendeley.com/research/open-access-true-cost-science-publishing-3
10.1016/j.techfore.2013.04.018,1561559,5.75,article,The relationship between research funding and academic consulting: An empirical investigation in the Spanish context,Technological Forecasting and Social Change,NA,NA,NA,NA,Elsevier Inc.,4f6fa6393cf058f610008af1,5,2013-06-01T00:00:00+00:00,2013-06-17T08:50:15+00:00,2017-06-07T13:31,Pablo D'Este,https://riunet.upv.es/bitstream/10251/82515/2/Examining%20the%20relationship%20between%20research%20funding%20and%20academica%20consulting....pdf,NA,http://www.mendeley.com/research/relationship-between-research-funding-academic-consulting-empirical-investigation-spanish-context
10.1007/s10734-012-9549-9,18640415,3.0,article,Faculty consulting in natural sciences and engineering: between formal and informal knowledge transfer,Higher Education,NA,NA,NA,NA,Springer Netherlands,4f6fa4ec3cf058f6100029e8,1,2012-07-06T00:00:00+00:00,2017-04-08T13:35:33+00:00,2017-03-28T01:00,Nabil Amara,https://link.springer.com/content/pdf/10.1007%2Fs10734-012-9549-9.pdf,NA,http://www.mendeley.com/research/faculty-consulting-natural-sciences-engineering-between-formal-informal-knowledge-transfer
10.1155/2013/963525,1141992,3.25,article,"Waterlogging Tolerance of Crops: Breeding, Mechanism of Tolerance, Molecular Approaches, and Future Prospects",BioMed Research International,2013,NA,NA,NA,Hindawi Publishing Corporation,56c1ef852a83ee09648b548f,2,2013-01-01T00:00:00+00:00,2012-12-25T10:14:26+00:00,2017-03-24T12:41,"Latif, M. A.",http://downloads.hindawi.com/journals/bmri/2013/963525.pdf,NA,http://www.mendeley.com/research/waterlogging-tolerance-crops-breeding-mechanism-tolerance-molecular-approaches-future-prospects-1
10.1016/j.jclepro.2012.03.009,4038423,15.0,article,Opportunities for supplier-led systemic innovation in highly energy-efficient housing,Journal of Cleaner Production,56,NA,103,111,NA,4f6fa4f03cf058f610002cfa,3,2013-10-01T00:00:00+00:00,2015-05-21T19:18:32+00:00,2017-03-24T00:00,Erwin Mlecnik,NA,NA,http://www.mendeley.com/research/opportunities-supplierled-systemic-innovation-highly-energyefficient-housing
10.1016/j.marenvres.2013.09.012,2687777,6.35,article,Environmental impacts of produced water and drilling waste discharges from the Norwegian offshore petroleum industry,Marine Environmental Research,NA,NA,NA,NA,NA,4f6fa5003cf058f61000304d,10,2013-01-01T00:00:00+00:00,2014-09-16T15:44:19+00:00,2018-03-02T14:07,Torgeir Bakke,NA,NA,http://www.mendeley.com/research/environmental-impacts-produced-water-drilling-waste-discharges-norwegian-offshore-petroleum-industry
10.1109/tlt.2012.15,1363909,4.0,article,The Collaborative Lecture Annotation System (CLAS): A New TOOL for Distributed Learning,IEEE Transactions on Learning Technologies,6,1,4,13,IEEE,4f6fa61b3cf058f6100076ee,2,2013-01-01T00:00:00+00:00,2013-04-11T21:28:48+00:00,2017-02-15T02:31,Alan Kingstone,http://ieeexplore.ieee.org/iel5/4620076/6478748/06235948.pdf,http://ieeexplore.ieee.org/document/6235948/,http://www.mendeley.com/research/collaborative-lecture-annotation-system-clas-new-tool-distributed-learning
10.1136/amiajnl-2013-001923,16937326,3.0,article,Leveraging electronic healthcare record standards and semantic web technologies for the identification of patient cohorts,Journal of the American Medical Informatics Association,NA,NA,NA,NA,NA,4f6fa5743cf058f610004cca,1,2013-12-01T00:00:00+00:00,2017-03-02T16:54:10+00:00,2017-02-10T00:00,"Fernández-Breis, Jesualdo Tomás",https://academic.oup.com/jamia/article-pdf/doi/10.1136/amiajnl-2013-001923/5940922/20-e2-e288.pdf,https://academic.oup.com/jamia/article-lookup/doi/10.1136/amiajnl-2013-001923,http://www.mendeley.com/research/leveraging-electronic-healthcare-record-standards-semantic-web-technologies-identification-patient-c
10.1021/ef301761m,16285297,3.0,article,Co-Gasification of Wood and Lignite in a Dual Fluidized Bed Gasifier,Energy & Fuels,NA,NA,NA,NA,American Chemical Society,4f6fa56d3cf058f610004b77,2,2013-02-21T00:00:00+00:00,2017-02-10T03:29:37+00:00,2017-02-09T00:00,Stefan Kern,NA,http://pubs.acs.org/doi/abs/10.1021/ef301761m,http://www.mendeley.com/research/cogasification-wood-lignite-dual-fluidized-bed-gasifier
10.1016/j.fuproc.2013.01.014,1266860,3.5,article,Gasification of lignite in a dual fluidized bed gasifier — Influence of bed material particle size and the amount of steam,Fuel Processing Technology,111,NA,1,13,Elsevier B.V.,4f6fa4ec3cf058f610002919,2,2013-07-01T00:00:00+00:00,2013-02-27T07:46:57+00:00,2017-02-09T00:00,Stefan Kern,NA,NA,http://www.mendeley.com/research/gasification-lignite-dual-fluidized-bed-gasifier-influence-bed-material-particle-size-amount-steam
10.1093/icc/dts027,9899231,3.0,article,"Where there is a will, there is a way? Assessing the impact of obstacles to innovation",Industrial & Corporate Change,22,3,679,710,Oxford University Press,4f6fa5953cf058f610004f98,1,2013-06-23T00:00:00+00:00,2016-07-20T17:49:07+00:00,2017-02-03T00:00,Pierre Blanchard,https://academic.oup.com/icc/article-pdf/22/3/679/2267688/dts027.pdf,NA,http://www.mendeley.com/research/way-assessing-impact-obstacles-innovation
10.1088/1748-9326/8/3/034038,5587737,8.488,article,"REDD+ readiness: early insights on monitoring, reporting and verification systems of project developers",Environmental Research Letters (ERL),8,3,034038,NA,IOP Publishing,4f6fa6163cf058f6100072bb,3,2013-09-01T00:00:00+00:00,2016-02-14T14:21:24+00:00,2017-02-01T00:00,Shijo Joseph,http://iopscience.iop.org/article/10.1088/1748-9326/8/3/034038/pdf,http://stacks.iop.org/1748-9326/8/i=3/a=034038?key=crossref.9981f4db636d5de339bbd16f161157d1,http://www.mendeley.com/research/redd-readiness-early-insights-monitoring-reporting-verification-systems-project-developers
10.1016/j.still.2012.11.002,21728210,3.0,article,"Soil erosion, soil fertility and crop yield on slow-forming terraces in the highlands of Buberuka, Rwanda",Soil & Tillage Research,NA,NA,NA,NA,NA,4f6fa5143cf058f610003576,1,2013-04-01T00:00:00+00:00,2017-07-10T14:58:52+00:00,2017-02-01T00:00,D.M. Kagabo,NA,NA,http://www.mendeley.com/research/soil-erosion-soil-fertility-crop-yield-slowforming-terraces-highlands-buberuka-rwanda
10.1016/j.mayocp.2013.03.002,2626773,10.55,article,Promoting Health and Wellness in the Workplace: A Unique Opportunity to Establish Primary and Extended Secondary Cardiovascular Risk Reduction Programs.,Mayo Clinic Proceedings,88,6,605,617,Elsevier,4f6fa5023cf058f61000307b,7,2013-01-06T00:00:00+00:00,2014-08-26T10:58:03+00:00,2017-01-30T00:00,Arena R,http://www.mayoclinicproceedings.org/article/S0025619613001924/pdf,NA,http://www.mendeley.com/research/promoting-health-wellness-workplace-unique-opportunity-establish-primary-extended-secondary-cardiova
10.1111/1574-6976.12028,1579234,22.1,article,"The rhizosphere microbiome: significance of plant-beneficial, plant-pathogenic and human-pathogenic microorganisms.",FEMS Microbiology Reviews,37,5,634,663,Oxford University Press,4f6fa4eb3cf058f6100028c5,15,2013-01-01T00:00:00+00:00,2013-06-24T15:25:18+00:00,2018-05-01T10:00,"Mendes, Rodrigo",http://onlinelibrary.wiley.com/doi/10.1111/1574-6976.12028/pdf,https://academic.oup.com/femsre/article-lookup/doi/10.1111/1574-6976.12028,http://www.mendeley.com/research/rhizosphere-microbiome-significance-plant-beneficial-plant-pathogenic-human-pathogenic-microorganism
10.1002/cplx.21436,1239609,11.7,article,The evolutionary ecology of technological innovations,Complexity,18,4,15,27,"Wiley Subscription Services, Inc., A Wiley Company",4f6fa56a3cf058f610004b3e,13,2013-01-01T00:00:00+00:00,2013-02-14T16:07:06+00:00,2017-01-27T00:00,"Solée, Ricard V.",http://onlinelibrary.wiley.com/doi/10.1002/cplx.21436/pdf,NA,http://www.mendeley.com/research/evolutionary-ecology-technological-innovations-12
10.1080/19440049.2013.795293,1575451,10.0,article,Review of the regulation and safety assessment of food substances in various countries and jurisdictions,Food Additives &amp; Contaminants: Part A,NA,NA,1,74,Taylor & Francis,4f6fa4d63cf058f6100010ae,2,2013-06-20T00:00:00+00:00,2013-06-22T00:36:27+00:00,2017-09-11T13:30,Bernadene Magnuson,NA,NA,http://www.mendeley.com/research/review-regulation-safety-assessment-food-substances-various-countries-jurisdictions
10.1017/thg.2013.61,20563851,3.0,article,Relationship of Mode of Conception and Sex Concordance With Mortality/Morbidity in Preterm Twins,Twin Research & Human Genetics,NA,NA,NA,NA,Cambridge University Press,4f6fa53b3cf058f6100046b4,1,2013-08-28T00:00:00+00:00,2017-05-26T11:07:06+00:00,2017-01-09T00:00,Lucia Mirea,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/AF076325D63AB81569EB740E979AA438/S1832427413000613a.pdf/div-class-title-relationship-of-mode-of-conception-and-sex-concordance-with-mortality-morbidity-in-preterm-twins-div.pdf,NA,http://www.mendeley.com/research/relationship-mode-conception-sex-concordance-mortalitymorbidity-preterm-twins
10.1016/s1701-2163(15)30865-3,1736463,3.25,article,"Intrauterine growth restriction: screening, diagnosis, and management.",Journal of obstetrics and gynaecology Canada JOGC Journal d obstétrique et gynécologie du Canada JOGC,35,8,NA,NA,NA,4f6fa9283cf058f61000dd2c,2,2013-08-01T00:00:00+00:00,2013-09-08T01:34:04+00:00,2017-01-05T00:00,Andrea Lausman,NA,NA,http://www.mendeley.com/research/intrauterine-growth-restriction-screening-diagnosis-management-3
10.1016/j.annepidem.2013.05.007,1595705,4.0,article,Promoting innovation and creativity in epidemiology for the 21st century,Annals of Epidemiology,23,7,NA,NA,Elsevier,4f6fa4e83cf058f610002276,3,2013-01-01T00:00:00+00:00,2013-07-01T11:32:02+00:00,2017-01-05T00:00,"Hiatt, Robert A.",http://www.annalsofepidemiology.org/article/S1047-2797(13)00135-X/pdf,NA,http://www.mendeley.com/research/promoting-innovation-creativity-epidemiology-21st-century-3
10.1038/nature12859,1955462,55.104,article,Ecosystem-based coastal defence in the face of global change,Nature,504,7478,79,83,Nature Publishing Group,4f6fa50a3cf058f610003160,25,2013-12-04T00:00:00+00:00,2013-12-04T19:12:43+00:00,2017-01-01T00:00,Stijn Temmerman,https://www.nature.com/articles/nature12859.pdf,NA,http://www.mendeley.com/research/ecosystembased-coastal-defence-face-global-change-14
10.1016/j.jclepro.2013.06.020,35082553,3.0,article,Silvopastoral systems with traditional management in southeastern Mexico: a prototype of livestock agroforestry for cleaner production,Journal of Cleaner Production,NA,NA,NA,NA,NA,4f6fa4f03cf058f610002cfa,1,2013-10-01T00:00:00+00:00,2018-04-01T02:50:16+00:00,2017-01-01T00:00,J. Nahed-Toral,NA,NA,http://www.mendeley.com/research/silvopastoral-systems-traditional-management-southeastern-mexico-prototype-livestock-agroforestry-cl
10.1016/j.jclepro.2012.07.041,16278091,6.0,article,"Social learning in regional innovation networks: trust, commitment and reframing as emergent properties of interaction",Journal of Cleaner Production,NA,NA,NA,NA,NA,4f6fa4f03cf058f610002cfa,2,2013-06-01T00:00:00+00:00,2017-02-09T22:23:02+00:00,2017-01-01T00:00,Jifke Sol,NA,http://linkinghub.elsevier.com/retrieve/pii/S0959652612003794,http://www.mendeley.com/research/social-learning-regional-innovation-networks-trust-commitment-reframing-emergent-properties-interact-1
10.1016/s0140-6736(13)60593-0,1513712,24.7,article,"Quality of care, risk management, and technology in obstetrics to reduce hospital-based maternal mortality in Senegal and Mali (QUARITE): a cluster-randomised trial",The Lancet,382,9887,NA,NA,Elsevier,4f6fa6393cf058f610008b2a,19,2013-01-01T00:00:00+00:00,2013-05-28T03:25:59+00:00,2017-01-01T00:00,Alexandre Dumont,http://download.thelancet.com/pdfs/journals/lancet/PIIS0140673613605930.pdf,NA,http://www.mendeley.com/research/quality-care-risk-management-technology-obstetrics-reduce-hospitalbased-maternal-mortality-senegal-m
10.1038/nbt.2507,1205520,44.25,article,Targeted genome engineering in human cells with the Cas9 RNA-guided endonuclease.,Nature Biotechnology,NA,NA,230,,Nature Publishing Group,4f6fa50a3cf058f610003162,88,2013-01-29T00:00:00+00:00,2013-01-29T20:02:42+00:00,2018-06-02T14:39,Seung Woo Cho,https://www.nature.com/articles/nbt.2507.pdf,NA,http://www.mendeley.com/research/targeted-genome-engineering-human-cells-cas9-rnaguided-endonuclease-29
10.1016/j.jclinepi.2012.04.012,1133540,5.5,article,GRADE guidelines: 10. Considering resource use and rating the quality of economic evidence,Journal of Clinical Epidemiology,66,2,140,150,Elsevier,4f6fa4f03cf058f610002cfd,5,2012-01-01T00:00:00+00:00,2012-12-19T15:09:53+00:00,2017-01-01T00:00,"SchÃ¼nemann, Holger J.",http://www.jclinepi.com/article/S0895-4356(12)00134-5/pdf,http://linkinghub.elsevier.com/retrieve/pii/S0895435612001345,http://www.mendeley.com/research/grade-guidelines-10-considering-resource-rating-quality-economic-evidence
